0.25	0.02	15.1	0.2	0.01	14.68	0.19	16.6017	0.2051	-0.2091
0.27	0.02	15.15	0.58	0.02	14.72	0.57	16.6165	0.6256	-0.6448
0.29	0.02	15.23	0.94	0.03	14.8	0.91	16.6461	1.0106	-0.9253
0.31	0.02	15.35	1.26	0.04	14.91	1.22	16.6891	1.3487	-1.0072
0.33	0.02	15.5	1.53	0.03	15.06	1.49	16.7401	1.6378	-0.905
0.35	0.02	15.67	1.77	0.03	15.23	1.72	16.7928	1.8836	-0.6573
0.37	0.02	15.85	1.99	0.02	15.43	1.93	16.8389	2.0935	-0.3056
0.39	0.02	16.04	2.18	0	15.63	2.12	16.8712	2.2753	0.1035
0.41	0.02	16.22	2.35	-0.01	15.83	2.29	16.8811	2.4336	0.5264
0.43	0.02	16.4	2.51	-0.02	16.03	2.45	16.8625	2.5695	0.9154
0.45	0.02	16.55	2.65	-0.03	16.21	2.59	16.8081	2.6773	1.2445
0.47	0.02	16.69	2.75	-0.04	16.37	2.69	16.7186	2.7463	1.5173
0.49	0.02	16.81	2.8	-0.05	16.51	2.74	16.5986	2.7584	1.7919
0.51	0.02	16.93	2.79	-0.07	16.63	2.74	16.4581	2.7116	2.2511
0.53	0.02	17.07	2.75	-0.1	16.75	2.7	16.3173	2.6293	2.9344
0.55	0.02	17.22	2.68	-0.13	16.87	2.63	16.1805	2.5267	3.6899
0.57	0.02	17.38	2.6	-0.16	16.99	2.54	16.0557	2.4118	4.3958
0.59	0.02	17.53	2.5	-0.18	17.11	2.44	15.9402	2.2842	4.9323
0.61	0.02	17.67	2.37	-0.2	17.23	2.31	15.834	2.1367	5.2408
0.63	0.02	17.79	2.2	-0.2	17.32	2.14	15.7337	1.9575	5.2858
0.65	0.02	17.88	1.96	-0.19	17.4	1.91	15.6398	1.733	5.0405
0.67	0.02	17.94	1.65	-0.17	17.45	1.61	15.5542	1.4508	4.4759
0.69	0.02	17.97	1.26	-0.13	17.49	1.23	15.4819	1.104	3.5669
0.71	0.02	17.98	0.79	-0.08	17.51	0.77	15.4291	0.6969	2.3271
0.73	0.02	17.98	0.27	-0.03	17.52	0.26	15.4004	0.2471	0.8513
